seed,mode,epoch,val_loss,val_ppl
100,gpt_baseline,1,6.175868903889375,481.0007858505603
100,gpt_baseline,2,5.903045542099896,366.1508994825649
100,gpt_baseline,3,5.729651899898753,307.86208290062785
100,gpt_baseline,4,5.583789544947007,266.0780122574205
100,gpt_baseline,5,5.465369533090031,236.36318298997594
100,gpt_baseline,6,5.380290480221019,217.08532526040068
100,gpt_baseline,7,5.326958179473877,205.8109809729625
100,gpt_baseline,8,5.273071850047392,195.01409734886386
100,gpt_baseline,9,5.250255584716797,190.61498050914767
100,gpt_baseline,10,5.239198768840117,188.51899458491135
100,gpt_baseline,11,5.231507413527545,187.0745898499467
100,gpt_baseline,12,5.242046552545884,189.05662106454199
100,gpt_baseline,13,5.253779804005342,191.28793462256291
100,gpt_baseline,14,5.278248225941377,196.0261808237329
100,gpt_baseline,15,5.307942614835851,201.9343439941882
100,fet_full,1,6.218457839068244,501.9285802079572
100,fet_full,2,5.955409975612865,385.8350612225615
100,fet_full,3,5.776870278751149,322.7474983823192
100,fet_full,4,5.651320485507741,284.6671165506014
100,fet_full,5,5.543122908648322,255.47457876040616
100,fet_full,6,5.458351275500129,234.71013283807667
100,fet_full,7,5.395644131828757,220.4440964335184
100,fet_full,8,5.332224284901338,206.89766207421118
100,fet_full,9,5.296098681057201,199.55675479451122
100,fet_full,10,5.26134412428912,192.7403842981118
100,fet_full,11,5.242986118092256,189.23433562617373
100,fet_full,12,5.225983675788431,186.0440876102139
100,fet_full,13,5.20165454640108,181.57241346599693
100,fet_full,14,5.206570457009708,182.46720477465894
100,fet_full,15,5.2037615495569565,181.95539043935125
100,fet_attn_only,1,6.183430980233585,484.6519382621823
100,fet_attn_only,2,5.915118413812974,370.59818405026044
100,fet_attn_only,3,5.736355276668773,309.932730848437
100,fet_attn_only,4,5.582759436439066,265.80406415557763
100,fet_attn_only,5,5.477510059581084,239.25024624771552
100,fet_attn_only,6,5.393312229829676,219.93064130055583
100,fet_attn_only,7,5.340015495524687,208.51594132797945
100,fet_attn_only,8,5.276363260605756,195.6570262990505
100,fet_attn_only,9,5.245224531959085,189.65839482004725
100,fet_attn_only,10,5.232027502620921,187.1719106093145
100,fet_attn_only,11,5.202802209293141,181.78091701015848
100,fet_attn_only,12,5.198856213513543,181.06502366381062
100,fet_attn_only,13,5.1917864855598,179.78945747039737
100,fet_attn_only,14,5.199604034423828,181.20047851630062
100,fet_attn_only,15,5.208939916947308,182.90006612759626
100,fet_ffn_only,1,6.188774950364056,487.24883643688344
100,fet_ffn_only,2,5.92724396200741,375.11924496900684
100,fet_ffn_only,3,5.732253018547507,308.66391107873307
100,fet_ffn_only,4,5.579940347110524,265.0557939706386
100,fet_ffn_only,5,5.467937778024113,236.97100171688487
100,fet_ffn_only,6,5.378368630128748,216.66852045448505
100,fet_ffn_only,7,5.316193244036506,203.6073214573608
100,fet_ffn_only,8,5.262497116537655,192.9627406301176
100,fet_ffn_only,9,5.228567011216107,186.52532322171717
100,fet_ffn_only,10,5.228995659772088,186.60529417066144
100,fet_ffn_only,11,5.200339177075555,181.3337356920866
100,fet_ffn_only,12,5.1962151527404785,180.58745085943528
100,fet_ffn_only,13,5.191637908711153,179.76274690372145
100,fet_ffn_only,14,5.210478333865895,183.18165923199777
100,fet_ffn_only,15,5.2255242572111245,185.95863513089898
200,gpt_baseline,1,6.212344253764433,498.86935795297745
200,gpt_baseline,2,5.933179434608011,377.35237575671505
200,gpt_baseline,3,5.758929392870734,317.00875534183115
200,gpt_baseline,4,5.621534487780402,276.31305710014976
200,gpt_baseline,5,5.50641076705035,246.2656341695729
200,gpt_baseline,6,5.410313185523538,223.70163682502988
200,gpt_baseline,7,5.352900477016673,211.22004915055012
200,gpt_baseline,8,5.299282550811768,200.1931300407913
200,gpt_baseline,9,5.268822052899529,194.18708555504475
200,gpt_baseline,10,5.24712610244751,190.01938674353516
200,gpt_baseline,11,5.243717866785386,189.37285827966772
200,gpt_baseline,12,5.23915501201854,188.51074577337369
200,gpt_baseline,13,5.253436032463522,191.22218657614732
200,gpt_baseline,14,5.270182890050552,194.4515224422782
200,gpt_baseline,15,5.308109171250287,201.96798025556504
200,fet_full,1,6.2286463905783265,507.06864584925415
200,fet_full,2,5.9742646778331085,393.17888162217395
200,fet_full,3,5.786897070267621,325.99989858171347
200,fet_full,4,5.665238773121553,288.65689639694
200,fet_full,5,5.538487069747028,254.29298073508565
200,fet_full,6,5.447900519651525,232.27000733137027
200,fet_full,7,5.3743855251985435,215.8072234593116
200,fet_full,8,5.321293213788201,204.64836502694038
200,fet_full,9,5.276049445657169,195.5956358325288
200,fet_full,10,5.257350500892191,191.97218675668324
200,fet_full,11,5.219857608570772,184.90785290261127
200,fet_full,12,5.201660548939424,181.573503364642
200,fet_full,13,5.191869875963996,179.8044508110677
200,fet_full,14,5.19750763388241,180.82100763549178
200,fet_full,15,5.201924464281867,181.62142972193337
200,fet_attn_only,1,6.182589671191047,484.24436767448884
200,fet_attn_only,2,5.92571107079001,374.54466846706225
200,fet_attn_only,3,5.743600817287669,312.1865161254103
200,fet_attn_only,4,5.601783892687629,270.9092496582208
200,fet_attn_only,5,5.498857918907614,244.41263375605328
200,fet_attn_only,6,5.408451613257913,223.2855874352939
200,fet_attn_only,7,5.343864048228545,209.31997210278206
200,fet_attn_only,8,5.304806456846349,201.3020380118981
200,fet_attn_only,9,5.2650006238152,193.4464294622072
200,fet_attn_only,10,5.249286034527947,190.4302592815183
200,fet_attn_only,11,5.218693144181195,184.69265960933296
200,fet_attn_only,12,5.203335509580724,181.8778866801553
200,fet_attn_only,13,5.214993084178252,184.0105483910936
200,fet_attn_only,14,5.210424114676083,183.17172754009226
200,fet_attn_only,15,5.223076203290154,185.50395513267827
200,fet_ffn_only,1,6.194568634033203,490.07999556415757
200,fet_ffn_only,2,5.9393445183249085,379.6859707569758
200,fet_ffn_only,3,5.7349162101745605,309.4870378078899
200,fet_ffn_only,4,5.607645623824176,272.5019101556339
200,fet_ffn_only,5,5.492332234102137,242.8228667465176
200,fet_ffn_only,6,5.39343474893009,219.95758865563047
200,fet_ffn_only,7,5.327134188483743,205.84720874805708
200,fet_ffn_only,8,5.287034399369183,197.75608935441423
200,fet_ffn_only,9,5.24847344791188,190.2755810547714
200,fet_ffn_only,10,5.232485883376178,187.2577262776853
200,fet_ffn_only,11,5.207352189456715,182.6099010770439
200,fet_ffn_only,12,5.192679601557114,179.95010203745076
200,fet_ffn_only,13,5.199448305017808,181.17226247050172
200,fet_ffn_only,14,5.210269479190602,183.14340488097832
200,fet_ffn_only,15,5.226012370165656,186.04942610603638
