seed,mode,lr,epoch,val_loss,val_ppl
100,gpt_baseline,0.0005,1,5.672156447242288,290.66065341728006
100,gpt_baseline,0.0005,2,5.330105733310475,206.45980268070429
100,gpt_baseline,0.0005,3,5.1810181011873135,177.86380219224566
100,gpt_baseline,0.0005,4,5.10960584303912,165.60506761770313
100,gpt_baseline,0.0005,5,5.077527911242317,160.3770990508941
100,gpt_baseline,0.0005,6,5.104296910903033,164.72821119744086
100,gpt_baseline,0.0005,7,5.163373768750359,174.75303851588407
100,gpt_baseline,0.0005,8,5.270910962048699,194.59314870156615
100,gpt_baseline,0.0005,9,5.408542783400591,223.30594534216087
100,gpt_baseline,0.0005,10,5.585947047962862,266.6526960894482
100,gpt_baseline,0.0005,11,5.795179672241211,328.7112389615378
100,gpt_baseline,0.0005,12,6.015518471212948,409.73822132739446
100,gpt_baseline,0.0005,13,6.243677740658031,514.7481442009757
100,gpt_baseline,0.0005,14,6.538126826566808,690.9910189925686
100,gpt_baseline,0.0005,15,6.813170381433824,909.7504957607142
100,fet_attn_only,0.0005,1,5.717764166663675,304.22396790043143
100,fet_attn_only,0.0005,2,5.420341171937831,225.95619926743987
100,fet_attn_only,0.0005,3,5.258073960472556,192.11112112499623
100,fet_attn_only,0.0005,4,5.1392785689410045,170.59265307871527
100,fet_attn_only,0.0005,5,5.078785694346708,160.57894556937143
100,fet_attn_only,0.0005,6,5.049712268604952,155.97757838290977
100,fet_attn_only,0.0005,7,5.038322822346407,154.2111585034054
100,fet_attn_only,0.0005,8,5.052652152566349,156.4368090756516
100,fet_attn_only,0.0005,9,5.113444227330825,166.24194501603813
100,fet_attn_only,0.0005,10,5.164563900442684,174.96114145574057
100,fet_attn_only,0.0005,11,5.2601155864491185,192.5037408351935
100,fet_attn_only,0.0005,12,5.360979666990392,212.93344817206807
100,fet_attn_only,0.0005,13,5.46289072822122,235.77801034520473
100,fet_attn_only,0.0005,14,5.587108314738554,266.96253087166616
100,fet_attn_only,0.0005,15,5.727766593484318,307.28221532675786
100,fet_attn_rotational,0.0005,1,5.734972316517549,309.50440248091326
100,fet_attn_rotational,0.0005,2,5.395936605790082,220.50858002107856
100,fet_attn_rotational,0.0005,3,5.249516643075382,190.47417919095747
100,fet_attn_rotational,0.0005,4,5.12644038032083,168.4165509148087
100,fet_attn_rotational,0.0005,5,5.05655065312105,157.0478683962368
100,fet_attn_rotational,0.0005,6,5.008599677366369,149.6949680599081
100,fet_attn_rotational,0.0005,7,5.0011554830214555,148.58474710249934
100,fet_attn_rotational,0.0005,8,5.014193201626048,150.53463665938298
100,fet_attn_rotational,0.0005,9,5.038382348453298,154.22033836652827
100,fet_attn_rotational,0.0005,10,5.080081235100241,160.7871169556566
100,fet_attn_rotational,0.0005,11,5.154468855016372,173.20378600078678
100,fet_attn_rotational,0.0005,12,5.235678588642793,187.85654041645282
100,fet_attn_rotational,0.0005,13,5.328299593083999,206.0872438739345
100,fet_attn_rotational,0.0005,14,5.43892240524292,230.1939939198255
100,fet_attn_rotational,0.0005,15,5.558291245628806,259.3792420204351
100,fet_ffn_only,0.0005,1,5.684267486123478,294.20225886336823
100,fet_ffn_only,0.0005,2,5.396603263406193,220.65563275683428
100,fet_ffn_only,0.0005,3,5.227930007261389,186.40654368870238
100,fet_ffn_only,0.0005,4,5.106974160811481,165.16982067147418
100,fet_ffn_only,0.0005,5,5.047214284784654,155.58843515487564
100,fet_ffn_only,0.0005,6,5.025346193874584,152.22294564309973
100,fet_ffn_only,0.0005,7,5.032009920232436,153.24070496691576
100,fet_ffn_only,0.0005,8,5.04854938955868,155.79630074773007
100,fet_ffn_only,0.0005,9,5.1252795757966885,168.221165644559
100,fet_ffn_only,0.0005,10,5.182113334431368,178.05871125728098
100,fet_ffn_only,0.0005,11,5.286435335944681,197.6376563922792
100,fet_ffn_only,0.0005,12,5.391734924316406,219.58401692562794
100,fet_ffn_only,0.0005,13,5.510145926756017,247.18719566146518
100,fet_ffn_only,0.0005,14,5.647764619939467,283.6566761123034
100,fet_ffn_only,0.0005,15,5.780576517441694,323.94589705207136
100,fet_ffn_rotational,0.0005,1,5.72279670490938,305.7588455800489
100,fet_ffn_rotational,0.0005,2,5.385200565562529,218.15385387039444
100,fet_ffn_rotational,0.0005,3,5.236343876333797,187.98156064306417
100,fet_ffn_rotational,0.0005,4,5.112024634866153,166.0061166332829
100,fet_ffn_rotational,0.0005,5,5.046868269303266,155.53460846055893
100,fet_ffn_rotational,0.0005,6,4.989378107856302,146.84507329622957
100,fet_ffn_rotational,0.0005,7,4.982624067418715,145.85661752578315
100,fet_ffn_rotational,0.0005,8,5.000532114365521,148.49215289156854
100,fet_ffn_rotational,0.0005,9,5.02505048751831,152.17793900520482
100,fet_ffn_rotational,0.0005,10,5.060431857389562,157.65858764986086
100,fet_ffn_rotational,0.0005,11,5.121669529185575,167.61497424355852
100,fet_ffn_rotational,0.0005,12,5.211083219191607,183.29249664819065
100,fet_ffn_rotational,0.0005,13,5.296576719845042,199.65217346877537
100,fet_ffn_rotational,0.0005,14,5.404298684737261,222.36022117092708
100,fet_ffn_rotational,0.0005,15,5.513809302834903,248.09439601451763
100,gpt_baseline,0.001,1,5.544414296991685,255.804708770587
100,gpt_baseline,0.001,2,5.227616700565114,186.34815041831425
100,gpt_baseline,0.001,3,5.10433853373808,164.73506779529765
100,gpt_baseline,0.001,4,5.0845130146251005,161.50127132692978
100,gpt_baseline,0.001,5,5.126281051635742,168.38971946477113
100,gpt_baseline,0.001,6,5.229612449197208,186.72042584512698
100,gpt_baseline,0.001,7,5.366220645904541,214.05235741275445
100,gpt_baseline,0.001,8,5.543365414563348,255.53654036961893
100,gpt_baseline,0.001,9,5.767789681378533,319.83002454632634
100,gpt_baseline,0.001,10,6.019074102289537,411.1976924131716
100,gpt_baseline,0.001,11,6.253957816853243,520.0670870716402
100,gpt_baseline,0.001,12,6.537343969906078,690.4502837575523
100,gpt_baseline,0.001,13,6.804385128021241,901.7931121087976
100,gpt_baseline,0.001,14,7.139302815830006,1260.5492476911884
100,gpt_baseline,0.001,15,7.4637957954406735,1743.7544463432212
100,fet_attn_only,0.001,1,5.652531489203958,285.01205830164776
100,fet_attn_only,0.001,2,5.329223314173081,206.2776989574379
100,fet_attn_only,0.001,3,5.145605842365938,171.6754614388479
100,fet_attn_only,0.001,4,5.070868526907528,159.3126345826677
100,fet_attn_only,0.001,5,5.038018808925853,154.1642833673174
100,fet_attn_only,0.001,6,5.058701098946964,157.38595471716923
100,fet_attn_only,0.001,7,5.105378219380098,164.90642954576103
100,fet_attn_only,0.001,8,5.167456745820887,175.4680097775274
100,fet_attn_only,0.001,9,5.25221529119155,190.98889618345328
100,fet_attn_only,0.001,10,5.330108557308422,206.46038572358637
100,fet_attn_only,0.001,11,5.459038516773897,234.87149076829857
100,fet_attn_only,0.001,12,5.594249984516817,268.87591335081544
100,fet_attn_only,0.001,13,5.729152998082778,307.7085282559294
100,fet_attn_only,0.001,14,5.867735411700081,353.447659844675
100,fet_attn_only,0.001,15,6.0523171133153575,425.09688740820087
100,fet_attn_rotational,0.001,1,5.600399904812083,270.53457387449686
100,fet_attn_rotational,0.001,2,5.263309633591596,193.11958986036285
100,fet_attn_rotational,0.001,3,5.117926317102769,166.98872866294977
100,fet_attn_rotational,0.001,4,5.0085985845678,149.6948044735506
100,fet_attn_rotational,0.001,5,4.968535858603085,143.81616594347736
100,fet_attn_rotational,0.001,6,4.959784131891587,142.5630177661254
100,fet_attn_rotational,0.001,7,4.989331214007209,146.83818732697847
100,fet_attn_rotational,0.001,8,5.054052719789393,156.65606284690284
100,fet_attn_rotational,0.001,9,5.130525293911204,169.10592503072786
100,fet_attn_rotational,0.001,10,5.213160006579231,183.67355174172272
100,fet_attn_rotational,0.001,11,5.339746017456054,208.45975842520124
100,fet_attn_rotational,0.001,12,5.4844455146789555,240.91532294580674
100,fet_attn_rotational,0.001,13,5.62463436351103,277.1709221905451
100,fet_attn_rotational,0.001,14,5.772838113448199,321.44874726694997
100,fet_attn_rotational,0.001,15,5.945471237407011,382.0193406913603
100,fet_ffn_only,0.001,1,5.607674078099868,272.50966411042816
100,fet_ffn_only,0.001,2,5.272946649439195,194.98968299364668
100,fet_ffn_only,0.001,3,5.091671772003174,162.66156793032772
100,fet_ffn_only,0.001,4,5.029834832584156,152.90775523102312
100,fet_ffn_only,0.001,5,5.001764492708094,148.67526421287238
100,fet_ffn_only,0.001,6,5.029690654979032,152.88571094625328
100,fet_ffn_only,0.001,7,5.091099321701948,162.56847891372792
100,fet_ffn_only,0.001,8,5.167773546331069,175.523606938685
100,fet_ffn_only,0.001,9,5.263291834662942,193.11615256915144
100,fet_ffn_only,0.001,10,5.368308914408964,214.4998232608443
100,fet_ffn_only,0.001,11,5.520486148385441,249.75642636415787
100,fet_ffn_only,0.001,12,5.663278218437644,288.0915231703274
100,fet_ffn_only,0.001,13,5.8338796279009655,341.68170887160767
100,fet_ffn_only,0.001,14,6.011692288342644,408.17348335938516
100,fet_ffn_only,0.001,15,6.193710981256822,489.65985728744613
100,fet_ffn_rotational,0.001,1,5.707277386609245,301.05030788362774
100,fet_ffn_rotational,0.001,2,5.331708063237808,206.79088458171333
100,fet_ffn_rotational,0.001,3,5.165010590272791,175.03931227604818
100,fet_ffn_rotational,0.001,4,5.067457523345947,158.7701443627244
100,fet_ffn_rotational,0.001,5,5.010112806207993,149.92164728771468
100,fet_ffn_rotational,0.001,6,4.987631851645077,146.5888679401017
100,fet_ffn_rotational,0.001,7,5.010371207068948,149.96039217609027
100,fet_ffn_rotational,0.001,8,5.040829140158261,154.5981454302873
100,fet_ffn_rotational,0.001,9,5.114286752588609,166.38206707351483
100,fet_ffn_rotational,0.001,10,5.179110129861271,177.52476669557575
100,fet_ffn_rotational,0.001,11,5.281787701775046,196.7212401006463
100,fet_ffn_rotational,0.001,12,5.386499149098116,218.43732889141717
100,fet_ffn_rotational,0.001,13,5.514070075539982,248.1591006975221
100,fet_ffn_rotational,0.001,14,5.626359919379739,277.64960898359334
100,fet_ffn_rotational,0.001,15,5.781281109978171,324.17422734382023
